CITY,SIZE
937,36555
938,36471
939,36423
940,36185
941,36170
942,36143
943,36130
944,36126
945,36116
946,36050
947,35980
948,35941
949,35883
950,35874
951,35851
952,35804
953,35782
954,35738
955,35737
956,35709
957,35700
958,35593
959,35591
960,35579
961,35558
962,35543
963,35480
964,35472
965,35440
966,35440
967,35401
968,35382
969,35369
970,35338
971,35307
972,35304
973,35219
974,35212
975,35175
976,35160
977,35122
978,35121
979,35111
980,35047
981,35027
982,35008
983,34994
984,34936
985,34918
986,34886
987,34884
988,34882
989,34877
990,34776
991,34737
992,34709
993,34692
994,34656
995,34636
996,34635
997,34610
998,34609
999,34573
1000,34567
1001,34548
1002,34515
1003,34514
1004,34503
1005,34477
1006,34430
1007,34411
1008,34409
1009,34399
1010,34397
1011,34384
1012,34344
1013,34290
1014,34266
1015,34202
1016,34157
1017,34106
1018,34076
1019,34056
1020,34021
1021,34010
1022,33994
1023,33986
1024,33943
1025,33940
1026,33910
1027,33876
1028,33834
1029,33833
1030,33791
1031,33781
1032,33766
1033,33755
1034,33746
1035,33664
1036,33649
1037,33581
1038,33567
1039,33548
1040,33503
1041,33468
1042,33459
1043,33459
1044,33433
1045,33413
1046,33398
1047,33340
1048,33335
1049,33328
1050,33315
1051,33310
1052,33293
1053,33288
1054,33284
1055,33199
1056,33184
1057,33180
1058,33131
1059,33119
1060,33100
1061,33065
1062,33049
1063,33032
1064,33011
1065,33002
1066,33000
1067,32992
1068,32940
1069,32936
1070,32866
1071,32861
1072,32850
1073,32802
1074,32772
1075,32764
1076,32722
1077,32716
1078,32695
1079,32654
1080,32626
1081,32596
1082,32595
1083,32576
1084,32573
1085,32563
1086,32559
1087,32517
1088,32483
1089,32408
1090,32405
1091,32405
1092,32191
1093,32148
1094,32141
1095,32139
1096,32139
1097,32121
1098,32064
1099,32039
1100,32035
1101,32006
1102,31975
1103,31943
1104,31935
1105,31918
1106,31773
1107,31766
1108,31686
1109,31659
1110,31646
1111,31644
1112,31610
1113,31604
1114,31549
1115,31530
1116,31522
1117,31510
1118,31499
1119,31498
1120,31497
1121,31492
1122,31455
1123,31421
1124,31416
1125,31392
1126,31364
1127,31346
1128,31335
1129,31325
1130,31318
1131,31273
1132,31257
1133,31211
1134,31209
1135,31187
1136,31177
1137,31132
1138,31122
1139,31063
1140,31045
1141,31039
1142,31035
1143,30989
1144,30930
1145,30906
1146,30862
1147,30857
1148,30846
1149,30816
1150,30807
1151,30782
1152,30751
1153,30747
1154,30733
1155,30684
1156,30680
1157,30617
1158,30614
1159,30600
1160,30593
1161,30593
1162,30520
1163,30492
1164,30455
1165,30438
1166,30436
1167,30404
1168,30402
1169,30395
1170,30334
1171,30241
1172,30235
1173,30136
1174,30080
1175,29994
1176,29975
1177,29932
1178,29905
1179,29869
1180,29860
1181,29856
1182,29846
1183,29814
1184,29779
1185,29740
1186,29726
1187,29706
1188,29692
1189,29688
1190,29545
1191,29516
1192,29483
1193,29452
1194,29427
1195,29412
1196,29410
1197,29402
1198,29392
1199,29290
1200,29282
1201,29183
1202,29173
1203,29168
1204,29146
1205,29127
1206,29070
1207,29070
1208,29058
1209,28983
1210,28936
1211,28932
1212,28904
1213,28894
1214,28874
1215,28859
1216,28842
1217,28837
1218,28820
1219,28808
1220,28800
1221,28798
1222,28793
1223,28785
1224,28771
1225,28754
1226,28747
1227,28740
1228,28704
1229,28693
1230,28684
1231,28673
1232,28667
1233,28607
1234,28594
1235,28581
1236,28533
1237,28508
1238,28494
1239,28481
1240,28450
1241,28439
1242,28427
1243,28346
1244,28333
1245,28320
1246,28304
1247,28300
1248,28273
1249,28220
1250,28215
1251,28194
1252,28121
1253,28017
1254,28010
1255,28004
1256,27984
1257,27967
1258,27966
1259,27941
1260,27938
1261,27922
1262,27915
1263,27906
1264,27890
1265,27858
1266,27858
1267,27845
1268,27826
1269,27807
1270,27778
1271,27754
1272,27721
1273,27648
1274,27647
1275,27638
1276,27626
1277,27617
1278,27616
1279,27615
1280,27600
1281,27595
1282,27576
1283,27551
1284,27512
1285,27470
1286,27462
1287,27462
1288,27392
1289,27388
1290,27382
1291,27381
1292,27356
1293,27327
1294,27315
1295,27274
1296,27269
1297,27263
1298,27249
1299,27221
1300,27211
1301,27181
1302,27174
1303,27154
1304,27148
1305,27139
1306,27099
1307,27003
1308,26998
1309,26994
1310,26988
1311,26987
1312,26974
1313,26970
1314,26963
1315,26961
1316,26905
1317,26900
1318,26899
1319,26890
1320,26885
1321,26826
1322,26825
1323,26822
1324,26795
1325,26788
1326,26767
1327,26757
1328,26753
1329,26709
1330,26705
1331,26702
1332,26688
1333,26672
1334,26669
1335,26628
1336,26611
1337,26590
1338,26535
1339,26533
1340,26500
1341,26496
1342,26456
1343,26447
1344,26426
1345,26426
1346,26393
1347,26381
1348,26374
1349,26369
1350,26325
1351,26318
1352,26308
1353,26290
1354,26264
1355,26238
1356,26227
1357,26225
1358,26209
1359,26204
1360,26187
1361,26183
1362,26175
1363,26165
1364,26116
1365,26115
1366,26111
1367,26106
1368,26101
1369,26069
1370,26068
1371,26046
1372,26035
1373,25996
1374,25985
1375,25968
1376,25960
1377,25959
1378,25894
1379,25868
1380,25865
1381,25865
1382,25857
1383,25849
1384,25833
1385,25766
1386,25764
1387,25753
1388,25745
1389,25719
1390,25693
1391,25681
1392,25677
1393,25669
1394,25648
1395,25617
1396,25613
1397,25585
1398,25581
1399,25565
1400,25561
1401,25550
1402,25539
1403,25504
1404,25479
1405,25478
1406,25474
1407,25472
1408,25466
1409,25456
1410,25433
1411,25409
1412,25402
1413,25398
1414,25387
1415,25373
1416,25371
1417,25364
1418,25358
1419,25355
1420,25354
1421,25277
1422,25237
1423,25207
1424,25183
1425,25177
1426,25162
1427,25141
1428,25130
1429,25126
1430,25122
1431,25098
1432,25082
1433,25065
1434,25064
1435,25053
1436,25048
1437,25013
1438,25010
1439,24998
1440,24995
1441,24977
1442,24966
1443,24964
1444,24892
1445,24828
1446,24826
1447,24773
1448,24763
1449,24749
1450,24735
1451,24722
1452,24705
1453,24700
1454,24690
1455,24636
1456,24634
1457,24614
1458,24610
1459,24586
1460,24552
1461,24548
1462,24452
1463,24419
1464,24412
1465,24382
1466,24351
1467,24329
1468,24309
1469,24305
1470,24291
1471,24280
1472,24226
1473,24218
1474,24173
1475,24165
1476,24145
1477,24135
1478,24121
1479,24113
1480,24092
1481,24081
1482,24079
1483,24075
1484,24068
1485,24064
1486,24032
1487,24029
1488,23996
1489,23952
1490,23948
1491,23939
1492,23935
1493,23911
1494,23898
1495,23876
1496,23867
1497,23852
1498,23825
1499,23780
1500,23772
1501,23740
1502,23724
1503,23711
1504,23709
1505,23699
1506,23689
1507,23668
1508,23655
1509,23645
1510,23628
1511,23623
1512,23585
1513,23579
1514,23579
1515,23555
1516,23549
1517,23529
1518,23482
1519,23478
1520,23437
1521,23421
1522,23404
1523,23398
1524,23372
1525,23364
1526,23325
1527,23306
1528,23291
1529,23273
1530,23271
1531,23256
1532,23250
1533,23244
1534,23242
1535,23239
1536,23236
1537,23233
1538,23232
1539,23232
1540,23222
1541,23209
1542,23100
1543,23077
1544,23038
1545,23035
1546,22984
1547,22949
1548,22899
1549,22880
1550,22870
1551,22861
1552,22860
1553,22845
1554,22835
1555,22802
1556,22782
1557,22762
1558,22758
1559,22754
1560,22728
1561,22716
1562,22714
1563,22714
1564,22693
1565,22685
1566,22668
1567,22656
1568,22633
1569,22618
1570,22607
1571,22576
1572,22573
1573,22555
1574,22546
1575,22495
1576,22490
1577,22452
1578,22430
1579,22424
1580,22381
1581,22359
1582,22355
1583,22350
1584,22337
1585,22334
1586,22306
1587,22293
1588,22283
1589,22282
1590,22272
1591,22269
1592,22247
1593,22239
1594,22190
1595,22178
1596,22178
1597,22176
1598,22172
1599,22124
1600,22117
1601,22112
1602,22112
1603,22106
1604,22093
1605,22053
1606,22053
1607,22041
1608,22040
1609,22002
1610,21991
1611,21981
1612,21960
1613,21955
1614,21948
1615,21932
1616,21920
1617,21916
1618,21886
1619,21875
1620,21873
1621,21866
1622,21850
1623,21847
1624,21842
1625,21840
1626,21836
1627,21818
1628,21815
1629,21810
1630,21801
1631,21801
1632,21796
1633,21780
1634,21776
1635,21775
1636,21774
1637,21761
1638,21738
1639,21695
1640,21689
1641,21681
1642,21658
1643,21655
1644,21654
1645,21610
1646,21607
1647,21605
1648,21591
1649,21586
1650,21586
1651,21545
1652,21536
1653,21513
1654,21497
1655,21485
1656,21479
1657,21477
1658,21460
1659,21459
1660,21453
1661,21449
1662,21444
1663,21443
1664,21432
1665,21398
1666,21384
1667,21379
1668,21378
1669,21376
1670,21344
1671,21331
1672,21308
1673,21299
1674,21276
1675,21269
1676,21268
1677,21267
1678,21258
1679,21253
1680,21249
1681,21249
1682,21243
1683,21236
1684,21230
1685,21221
1686,21177
1687,21166
1688,21163
1689,21142
1690,21080
1691,21080
1692,21066
1693,21054
1694,21031
1695,21029
1696,21011
1697,21008
1698,20985
1699,20985
1700,20978
1701,20967
1702,20954
1703,20953
1704,20952
1705,20947
1706,20944
1707,20940
1708,20929
1709,20921
1710,20921
1711,20909
1712,20907
1713,20897
1714,20883
1715,20871
1716,20866
1717,20831
1718,20816
1719,20769
1720,20762
1721,20759
1722,20733
1723,20730
1724,20712
1725,20704
1726,20701
1727,20700
1728,20696
1729,20681
1730,20662
1731,20646
1732,20642
1733,20617
1734,20607
1735,20580
1736,20563
1737,20554
1738,20545
1739,20541
1740,20525
1741,20520
1742,20504
1743,20501
1744,20489
1745,20463
1746,20461
1747,20449
1748,20418
1749,20413
1750,20413
1751,20398
1752,20398
1753,20395
1754,20394
1755,20393
1756,20393
1757,20393
1758,20392
1759,20388
1760,20347
1761,20335
1762,20334
1763,20334
1764,20329
1765,20288
1766,20278
1767,20274
1768,20273
1769,20261
1770,20252
1771,20238
1772,20230
1773,20191
1774,20168
1775,20140
1776,20125
1777,20112
1778,20098
1779,20093
1780,20087
1781,20072
1782,20060
1783,20053
1784,20048
1785,20029
1786,20025
1787,20007
1788,20000
1789,19976
1790,19974
1791,19973
1792,19965
1793,19958
1794,19955
1795,19947
1796,19928
1797,19926
1798,19918
1799,19903
1800,19877
1801,19872
1802,19864
1803,19864
1804,19843
1805,19843
1806,19810
1807,19809
1808,19807
1809,19798
1810,19786
1811,19781
1812,19752
1813,19736
1814,19727
1815,19723
1816,19721
1817,19715
1818,19643
1819,19627
1820,19626
1821,19614
1822,19609
1823,19596
1824,19583
1825,19572
1826,19561
1827,19559
1828,19522
1829,19479
1830,19453
1831,19451
1832,19422
1833,19402
1834,19389
1835,19389
1836,19386
1837,19385
1838,19385
1839,19371
1840,19366
1841,19351
1842,19316
1843,19311
1844,19311
1845,19305
1846,19299
1847,19275
1848,19271
1849,19258
1850,19256
1851,19247
1852,19241
1853,19224
1854,19221
1855,19199
1856,19196
1857,19178
1858,19170
1859,19170
1860,19168
1861,19167
1862,19148
1863,19137
1864,19116
1865,19107
1866,19096
1867,19079
1868,19069
1869,19030
1870,19030
1871,19017
1872,19017
1873,19009
1874,19007
1875,19005
1876,18981
1877,18980
1878,18975
1879,18968
1880,18960
1881,18958
1882,18949
1883,18924
1884,18917
1885,18913
1886,18911
1887,18909
1888,18907
1889,18900
1890,18897
1891,18894
1892,18887
1893,18847
1894,18846
1895,18837
1896,18824
1897,18823
1898,18808
1899,18807
1900,18799
1901,18798
1902,18789
1903,18773
1904,18769
1905,18767
1906,18741
1907,18727
1908,18720
1909,18720
1910,18718
1911,18717
1912,18708
1913,18703
1914,18699
1915,18698
1916,18696
1917,18686
1918,18674
